Ville,Description_Temps,Température_Ressentie (°C),Humidite_WM,Pression_Atmosphérique (hPa),Niveau_Mer (hPa),Pression_Sol (hPa),Vitesse_Vent (m/sec),Direction_Vent (DEG),Rafales_Vent (m/sec),Précipitations_1h (mm/h),Couverture_Nuageuse (%),Heure_Lever_Soleil,Heure_Coucher_Soleil
Paris,ciel dégagé,27.77,36,1025,1025,1014,3.58,30,6.71,0,0,2025-06-17 03:46:31,2025-06-17 19:56:46
Rennes,ciel dégagé,27.41,36,1025,1025,1017,4.12,320,0.0,0,0,2025-06-17 04:06:17,2025-06-17 20:09:06
Nantes,ciel dégagé,28.05,32,1023,1023,1020,2.06,340,0.0,0,0,2025-06-17 04:09:40,2025-06-17 20:04:39
Marseille,ciel dégagé,27.92,52,1020,1020,1013,4.96,164,6.1,0,0,2025-06-17 03:57:41,2025-06-17 19:21:01
Toulouse,ciel dégagé,29.54,27,1021,1021,1000,4.12,0,0.0,0,0,2025-06-17 04:12:26,2025-06-17 19:38:00
Lyon,ciel dégagé,26.92,39,1022,1022,989,5.14,340,0.0,0,0,2025-06-17 03:50:20,2025-06-17 19:32:48
Bordeaux,ciel dégagé,29.09,32,1021,1021,1016,3.6,30,0.0,0,0,2025-06-17 04:15:41,2025-06-17 19:50:46
Montpellier,ciel dégagé,26.42,58,1020,1020,1010,1.03,0,0.0,0,0,2025-06-18 04:02:42,2025-06-18 19:28:43
Strasbourg,ciel dégagé,21.83,64,1023,1023,1007,1.54,0,0.0,0,0,2025-06-18 03:26:16,2025-06-18 19:34:03
Paris,ciel dégagé,19.48,67,1025,1025,1015,3.09,360,0.0,0,0,2025-06-18 03:46:35,2025-06-18 19:57:04
Rennes,ciel dégagé,18.15,88,1025,1025,1018,2.06,360,0.0,0,0,2025-06-18 04:06:20,2025-06-18 20:09:27
Nantes,ciel dégagé,19.9,68,1024,1024,1021,4.12,50,0.0,0,0,2025-06-18 04:09:44,2025-06-18 20:05:01
Marseille,ciel dégagé,26.14,47,1019,1019,1012,1.52,12,2.19,0,0,2025-06-18 03:57:46,2025-06-18 19:21:20
Toulouse,ciel dégagé,21.99,64,1022,1022,1000,1.03,0,0.0,0,0,2025-06-18 04:12:31,2025-06-18 19:38:20
Lyon,ciel dégagé,20.95,65,1022,1022,991,2.57,350,0.0,0,0,2025-06-18 03:50:24,2025-06-18 19:33:08
Bordeaux,ciel dégagé,22.95,53,1022,1022,1017,2.57,50,0.0,0,0,2025-06-18 04:15:46,2025-06-18 19:51:05
Montpellier,ciel dégagé,28.27,39,1020,1020,1010,3.09,10,0.0,0,0,2025-06-18 04:02:42,2025-06-18 19:28:43
Strasbourg,ciel dégagé,24.01,60,1023,1023,1007,2.06,360,0.0,0,0,2025-06-18 03:26:15,2025-06-18 19:34:03
Paris,ciel dégagé,22.3,54,1025,1025,1015,3.09,340,0.0,0,0,2025-06-18 03:46:35,2025-06-18 19:57:04
Rennes,ciel dégagé,20.93,68,1025,1025,1018,3.6,20,0.0,0,0,2025-06-18 04:06:20,2025-06-18 20:09:27
Nantes,ciel dégagé,21.99,64,1024,1024,1021,3.6,50,0.0,0,0,2025-06-18 04:09:43,2025-06-18 20:05:00
Marseille,ciel dégagé,27.31,37,1020,1020,1012,2.24,260,4.02,0,3,2025-06-18 03:57:46,2025-06-18 19:21:20
Toulouse,ciel dégagé,24.01,57,1022,1022,1000,1.54,280,0.0,0,0,2025-06-18 04:12:31,2025-06-18 19:38:20
Lyon,ciel dégagé,24.17,57,1022,1022,991,2.57,10,0.0,0,0,2025-06-18 03:50:24,2025-06-18 19:33:07
Bordeaux,ciel dégagé,26.19,50,1022,1022,1017,3.6,30,0.0,0,0,2025-06-18 04:15:46,2025-06-18 19:51:05
Montpellier,ciel dégagé,29.29,39,1020,1020,1010,4.12,10,0.0,0,0,2025-06-18 04:02:42,2025-06-18 19:28:43
Strasbourg,ciel dégagé,25.04,57,1023,1023,1007,1.54,40,0.0,0,0,2025-06-18 03:26:15,2025-06-18 19:34:03
Paris,ciel dégagé,22.32,50,1025,1025,1015,3.09,360,0.0,0,0,2025-06-18 03:46:35,2025-06-18 19:57:04
